"","file_id","peak_name","area.cpm","depth","OG","amount.ug","conc_rock.ug_g","conc_tle.ug.g","conc_maltene.ug.g","yield","ratio"
"1","TSQ3466_GB_OG022","20R 4a,24 dimethyl 13B,17a,H diacholestane",42908.6593852439,101.9,22,175.66172976025,15.9330367129478,39.0359399467207,24.3974624667014,0.0216839095710196,NA
"2","TSQ3466_GB_OG022","20R, 4a Me 13a,17B,H diacholestane",33438.7051582634,101.9,22,136.893132370002,12.4166106458052,30.4206960822216,19.0129350513892,0.0216839095710196,NA
"3","TSQ3466_GB_OG022","20R, 4a Me 13B,17a,H diacholestane",49528.855976442,101.9,22,202.763839246399,18.3912779361813,45.0586309436425,28.1616443397776,0.0216839095710196,NA
"4","TSQ3466_GB_OG022","20R, 4a,24 dimethyl 13a,17B,H diacholestane",26211.480322828,101.9,22,107.305938685843,9.7329649601672,23.8457641524087,14.903602595256,0.0216839095710196,NA
"5","TSQ3466_GB_OG022","20S, 4a Me 13B,17a,H diacholestane",49206.5912238315,101.9,22,201.444534828704,18.2716131363904,44.7654521841548,27.9784076150978,0.0216839095710196,NA
"6","TSQ3466_GB_OG022","20S, 4a,24 dimethyl 13a,17B,H diacholestane",31830.60546004,101.9,22,130.309809127934,11.8194838211278,28.9577353617621,18.098584601102,0.0216839095710196,NA
"7","TSQ3466_GB_OG022","20S, 4a,24 dimethyl 13B,17a,H diacholestane",51613.0432823658,101.9,22,211.296195012071,19.1651877561969,46.9547100026806,29.3466937516765,0.0216839095710196,NA
"8","TSQ3466_GB_OG022","25-nor C29H +4 Ho",11914.9232332345,101.9,22,48.7779402828496,4.4243029735011,10.8395422850773,6.77471392817355,0.0216839095710196,NA
"9","TSQ3466_GB_OG022","28, 30 C28 bisnor HO",27402.7466994084,101.9,22,112.182807721451,10.1753113579547,24.9295128269882,15.5809455168682,0.0216839095710196,NA
"10","TSQ3466_GB_OG022","29, 30 C28 bisnor HO",5779.8479763794,101.9,22,23.6618460662335,2.14619918968104,5.25818801471835,3.28636750919909,0.0216839095710196,NA
"11","TSQ3466_GB_OG022","30-nor C30H HO",4479.10441529524,101.9,22,18.3367935666178,1.66320123053223,4.0748430148038,2.54677688425247,0.0216839095710196,NA
"12","TSQ3466_GB_OG022","4a Me 24 ethyl 5a cholestane",57252.7464044855,101.9,22,234.384308692605,21.2593477272204,52.085401931688,32.5533762073062,0.0216839095710196,NA
"13","TSQ3466_GB_OG022","4a Me 5a cholestane",73629.3762245099,101.9,22,301.427818395406,27.3403916911933,66.983959643421,41.8649747771397,0.0216839095710196,NA
"14","TSQ3466_GB_OG022","4a,23R,24R trimethyl 5a cholestane",3984.91874826646,101.9,22,16.3136702545235,1.47969798226971,3.62526005656065,2.26578753535049,0.0216839095710196,NA
"15","TSQ3466_GB_OG022","4a,23R,24S trimethyl 5a cholestane",1838.92780225932,101.9,22,7.52829949192434,0.682838956183614,1.67295544264979,1.04559715165616,0.0216839095710196,NA
"16","TSQ3466_GB_OG022","4a,23S,24R trimethyl 5a cholestane",867.020036481359,101.9,22,3.54945229068346,0.321945786003035,0.788767175707406,0.492979484817148,0.0216839095710196,NA
"17","TSQ3466_GB_OG022","4a,23S,24S trimethyl 5a cholestane",1436.89148973605,101.9,22,5.88242206074653,0.533553021382905,1.30720490238807,0.817003063992573,0.0216839095710196,NA
"18","TSQ3466_GB_OG022","4a,24 dimethyl 5a cholestane",39220.0866188129,101.9,22,160.561256294499,14.5633792557369,35.680279176554,22.3001744853471,0.0216839095710196,NA
"19","TSQ3466_GB_OG022","4B Me 24 ethyl 5a cholestane",15704.7227807291,101.9,22,64.2928212764622,5.83154841509862,14.2872936169911,8.92955851061976,0.0216839095710196,NA
"20","TSQ3466_GB_OG022","4B Me 5a cholestane",15305.7523360805,101.9,22,62.6594950566667,5.68340091216932,13.9243322348143,8.70270764675927,0.0216839095710196,NA
"21","TSQ3466_GB_OG022","4B,23R,24R trimethyl 5a cholestane",1075.81746225652,101.9,22,4.40423818953552,0.399477386805943,0.978719597674523,0.6116997485466,0.0216839095710196,NA
"22","TSQ3466_GB_OG022","4B,23R,24S trimethyl 5a cholestane",559.836594609252,101.9,22,2.2918885372114,0.207881046459084,0.509308563824737,0.318317852390473,0.0216839095710196,NA
"23","TSQ3466_GB_OG022","4B,23S,24R trimethyl 5a cholestane",2301.3576210715,101.9,22,9.42141904003125,0.854550479821428,2.09364867556242,1.30853042222656,0.0216839095710196,NA
"24","TSQ3466_GB_OG022","4B,23S,24S trimethyl 5a cholestane",5759.2701225171,101.9,22,23.5776033642709,2.13855812827854,5.23946741428222,3.27466713392651,0.0216839095710196,NA
"25","TSQ3466_GB_OG022","4B,24 dimethyl 5a cholestane",77480.2592222657,101.9,22,317.19276603492,28.770318914732,70.4872813410907,44.0545508381833,0.0216839095710196,NA
"26","TSQ3466_GB_OG022","Bicad R HO",267.654757344725,101.9,22,1.09573914280583,0.0993867703225239,0.243497587290174,0.152185992056365,0.0216839095710196,NA
"27","TSQ3466_GB_OG022","Bicad T HO",2793.35988075162,101.9,22,11.4356038041231,1.03724297543066,2.54124528980503,1.5882783061282,0.0216839095710196,NA
"28","TSQ3466_GB_OG022","Bicad T1 HO",305.833874523426,101.9,22,1.25203882357926,0.113563612116033,0.27823084968427,0.173894281052676,0.0216839095710196,NA
"29","TSQ3466_GB_OG022","Bicad W HO",33.0605481600733,101.9,22,0.135345013333549,0.0122761916855826,0.0300766696296763,0.0187979185185484,0.0216839095710196,NA
