"","depth","var","value","conc_rock.ug_g","in_range","ka"
"71",110.2487,"d13c_org",-23.3511092452009,NA,TRUE,413.595898019284
"72",110.05185,"d13c_org",-22.7943043402337,NA,TRUE,418.303468914369
"73",109.855,"d13c_org",-23.090599167554,NA,TRUE,422.872079740506
"74",109.6645,"d13c_org",-23.0892495194511,NA,TRUE,427.169575088995
"75",109.4613,"d13c_org",-23.3977821526158,NA,TRUE,431.634366263996
"76",109.2581,"d13c_org",-23.3824550501602,NA,TRUE,436.083134874044
"77",109.07395,"d13c_org",-23.3400347715017,NA,TRUE,440.675739351158
"78",108.87075,"d13c_org",-23.3510888235074,NA,TRUE,446.632306335646
"79",108.6739,"d13c_org",-23.3035702985911,NA,TRUE,453.332781825959
"80",108.45165,"d13c_org",-23.4424512771657,NA,TRUE,461.970746195207
"81",108.24845,"d13c_org",-23.3786759698352,NA,TRUE,470.466634117197
"82",108.0516,"d13c_org",-23.4606121356433,NA,TRUE,478.611964302485
"83",107.8484,"d13c_org",-23.5290838787911,NA,TRUE,486.584130344945
"84",107.6452,"d13c_org",-22.9573960950224,NA,TRUE,494.154929199498
"85",107.442,"d13c_org",-23.022661869282,NA,TRUE,501.467599884333
"86",107.2642,"d13c_org",-22.8572372943139,NA,TRUE,507.75173209796
"87",107.061,"d13c_org",-23.1559730708816,NA,TRUE,514.871558111608
"88",106.8578,"d13c_org",-23.0115860866094,NA,TRUE,521.985487113148
"89",106.66095,"d13c_org",-23.2309699330375,NA,TRUE,528.935637640448
"90",106.45775,"d13c_org",-23.4400963201772,NA,TRUE,536.284818463937
"91",106.26725,"d13c_org",-23.5060879119813,NA,TRUE,543.425090791523
"92",106.07675,"d13c_org",-23.3156612418955,NA,TRUE,550.753748141821
"93",105.8799,"d13c_org",-23.7445595313485,NA,TRUE,558.396697066024
"94",105.6767,"d13c_org",-23.6457671046247,NA,TRUE,566.13375031984
"95",105.4862,"d13c_org",-23.7921295124154,NA,TRUE,573.06290218432
"96",105.1179,"d13c_org",-24.2195576404614,NA,TRUE,585.482240444986
"97",104.9147,"d13c_org",-24.2465468231435,NA,TRUE,592.099610900839
"98",104.7115,"d13c_org",-24.0790265324226,NA,TRUE,598.706501812697
"99",104.513888,"d13c_org",-24.3215367358003,NA,TRUE,605.160183389739
"100",104.31145,"d13c_org",-24.4646745224647,NA,TRUE,611.688037897662
"101",104.12095,"d13c_org",-24.546091014148,NA,TRUE,617.647111707098
"102",103.93045,"d13c_org",-24.7614723645468,NA,TRUE,623.399345783783
"103",103.72725,"d13c_org",-25.0232631750305,NA,TRUE,629.315061657588
"104",103.52405,"d13c_org",-24.9615084808542,NA,TRUE,635.035252443194
"105",102.74935,"d13c_org",-24.8119516450649,NA,TRUE,656.361110555328
"106",102.5525,"d13c_org",-24.5725782946323,NA,TRUE,661.940665410774
"107",102.3493,"d13c_org",-24.8264198572278,NA,TRUE,667.804332926171
"108",102.1461,"d13c_org",-24.2325546472455,NA,TRUE,673.722197211103
"109",101.9556,"d13c_org",-24.1437061493755,NA,TRUE,679.214726347541
"110",101.7651,"d13c_org",-24.2631300496836,NA,TRUE,684.572534491351
"111",101.55555,"d13c_org",-24.4372160844406,NA,TRUE,690.246329587943
"112",101.3587,"d13c_org",-24.618673951538,NA,TRUE,695.321324137573
"113",101.1555,"d13c_org",-24.6767943067357,NA,TRUE,700.31525927773
"114",100.9523,"d13c_org",-24.8844849751276,NA,TRUE,705.144713795913
"115",100.73005,"d13c_org",-24.7867604685337,NA,TRUE,710.339153704622
"116",100.53955,"d13c_org",-24.8501004250114,NA,TRUE,714.786901906131
"117",100.31095,"d13c_org",-24.8830020826804,NA,TRUE,720.137267477718
"118",100.1141,"d13c_org",-24.8399945714793,NA,TRUE,724.729659286809
"119",99.95535,"d13c_org",NA,NA,TRUE,728.408922416359
"120",99.7331,"d13c_org",-25.2865537308507,NA,TRUE,733.531594192878
"121",99.57435,"d13c_org",-25.1903682094517,NA,TRUE,737.213679544774
"122",99.37115,"d13c_org",-25.2941326575188,NA,TRUE,742.001027612194
"123",99.1743,"d13c_org",-25.05302161778,NA,TRUE,746.777406412567
